department,job,timeclass,startdate,hourly_wage,regular_pay,overtime_pay,other_pay,total_pay,reg_hours,overtime_hours,total_hours
Police,Police Officer,F,9/10/2018,30.04,58660.4,3013.36,5831.06,67504.82,37.55275017924818,1.286045955819591,38.83879613506777
Police,Police Sergeant,F,5/24/2004,48.4,96632.23,12020.11,4146.86,112799.2,38.3948784170375,3.183966412375504,41.57884482941301
Police,Police Officer*Rescue Pilot,F,5/13/2002,40.67,83529.6,12550.52,5702.94,101783.06000000001,39.49688865351516,3.956333970103333,43.45322262361849
Fire,Fire Captain 56hr,F,3/24/2008,32.44,92462.41,52317.39,5381.35,150161.15,54.812677843118664,20.676195105757376,75.48887294887604
Police,Police Officer,F,8/4/1995,37.79,77606.4,30738.91,9252.43,117597.73999999999,39.49274329798278,10.42838289874543,49.92112619672821
Parks and Recreation,Museum Assistant,F,8/12/2019,27.44,54711.2,0,75,54786.2,38.3432383942588,0,38.3432383942588
Police,Forensic Scientist III,F,7/7/2014,39,80129.92,0,75,80204.92,39.51179487179487,0,39.51179487179487
Aviation,Sign Specialist II*U2,F,11/25/2013,21.09,43419.96,250.64,97.2,43767.799999999996,39.59218732902943,0.15236288920499447,39.74455021823442
Public Works,Auto Technician*Master Tech,F,3/24/2008,28.31,58145.6,0,2361.69,60507.29,39.497867021710185,0,39.497867021710185
Aviation,Airport Operations Technician,F,12/5/2016,22.09,45025.22,3929.39,2657.97,51612.58,39.19735696625692,2.2805248923401935,41.477881858597115
Police,Police Officer,F,3/9/2020,26.82,47383.92,1644.68,1983.57,51012.17,33.97573567372225,0.7861909405533567,34.7619266142756
Fire,Fire Captain 56hr,F,5/17/1999,33.55,101140.56,53027.81,2770.05,156938.41999999998,57.97349535710192,20.2635981504834,78.23709350758531
Street Transportation,Accountant II,F,7/19/2004,37.87,77929.6,0,2200.12,80129.72,39.57343949950235,0,39.57343949950235
Police,Police Officer,F,11/5/2007,37.79,86374.65,12608.21,6653.37,105636.22999999998,43.95477537810165,4.27742042732781,48.23219580542946
Aviation,Electrician,F,11/12/2012,31.84,65613.42,759.2,2315.41,68688.03,39.6292882682644,0.3056951423785595,39.934983410642964
Human Services,Caseworker II,F,12/4/2006,29.46,60616,0,1775.14,62391.14,39.568645882291506,0,39.568645882291506
Aviation,User Technology Specialist*U2,F,1/21/2013,38.65,78219.2,10469.05,3120.2,91808.45,38.91889740272664,3.4726672637410023,42.391564666467644
Human Services,Human Services Program Coord,F,11/6/2006,40.98,84211.36,0,75,84286.36,39.51803881818523,0,39.51803881818523
Library,Municipal Security Guard,F,7/3/2017,18.74,36885.48,0,741.8,37627.280000000006,37.851448977916434,0,37.851448977916434
Water Services,Instrumentation & Cont Spec,F,8/29/2016,30.6,62014.72,3458.29,4386.21,69859.22,38.973554550025135,1.4489232445114797,40.42247779453661
Planning & Development,General Inspector I,F,5/20/2019,23.7,43716.32,0,3.6,43719.92,35.47250892567349,0,35.47250892567349
Police,Police Officer,F,11/21/2005,37.79,77606.4,11800.19,4375.1,93781.69,39.49274329798278,4.003294183103656,43.49603748108643
Library,Library Circulation Attnd I,P,9/9/2019,16.24,21342.44,0,109.6,21452.039999999997,25.272877984084882,0,25.272877984084882
Police,Police Sergeant,F,12/11/2000,48.4,97422.66,21719.58,10485.07,129627.31,38.708939923712656,5.753226319135411,44.46216624284807
Police,Police Officer,F,8/31/2015,37.79,73518.4,2938.89,5454.32,81911.60999999999,37.41242086836159,0.9970382885175157,38.40945915687911
Water Services,Water Services Technician,F,3/15/2004,23.05,47045.77,0,2444.12,49489.89,39.250600700817614,0,39.250600700817614
Public Works,Equipment Op II,F,7/31/2006,22.55,45425.1,9692.81,709.36,55827.27,38.73878560463926,5.51072261072261,44.24950821536187
Public Works,Secretary III,F,1/8/1996,25.37,52209.6,0,3915.2,56124.799999999996,39.57551317425184,0,39.57551317425184
Police,Police Records Clk,F,6/3/2019,17.97,36295.6,6607.5,0,42903.1,38.842087239416124,4.7140533367578445,43.556140576173966
Parks and Recreation,Building Maint Worker,F,8/25/1997,30.12,60912.96,16720.1,7982.1,85615.16,38.89120441311676,7.116874382810637,46.008078795927396
Street Transportation,Equipment Op III*Concrete,F,4/3/2000,26.72,54894.4,1839.64,1915.93,58649.97,39.50829111008753,0.8826769537847383,40.390968063872265
Police,Police Officer,F,10/21/2019,28.41,55334.4,1262.16,2424.55,59021.11000000001,37.45593371781334,0.5695719275444724,38.02550564535781
Police,Police Officer,F,3/27/2017,31.75,64693.5,4535.72,1506.06,70735.28,39.184433676559664,1.8315041389057138,41.01593781546538
Water Services,Communications Dispatcher,F,6/4/2018,19.59,39627.2,10142.6,1646,51415.799999999996,38.900537951073936,6.637740343712779,45.538278294786714
Police,Police Officer,F,4/26/2004,37.79,77606.4,38516.13,5438.9,121561.43,39.49274329798278,13.066857328963705,52.559600626946484
Parks and Recreation,Groundskeeper,F,7/30/2018,17.31,35146.4,0,0,35146.4,39.04634937563881,0,39.04634937563881
Public Works,Civil Engineer II,F,9/13/2004,41.78,85972.8,0,5642.4,91615.2,39.572117686047804,0,39.572117686047804
Police,Police Officer,F,11/5/2007,37.79,77606.4,3085.69,4144.27,84836.36,39.49274329798278,1.0468411803421065,40.53958447832488
Aviation,Special Projects Administrator,F,9/24/2007,53.44,107752,0,4975,112727,38.775333947489635,0,38.775333947489635
Police,Police Officer,F,1/14/2019,25.34,50134.8,1504.88,1648,53287.68,38.04778094833344,0.7613785845830046,38.809159532916446
Street Transportation,Equipment Op II,F,10/9/2006,22.55,46321.6,1337.22,2152.62,49811.44,39.50332594235033,0.7602592529421798,40.26358519529251
Street Transportation,Electrician Helper,F,3/8/2021,18.87,30647.6,6186.77,2382.8,39217.17,31.23354123354123,4.203368526897939,35.43690976043917
Fire,Fire Engineer 56hr,F,12/27/2010,29.24,84403.25,12311.96,4140.91,100856.12,55.51092418183732,5.398277736855028,60.90920191869235
Parks and Recreation,Clerk I,P,1/10/2011,16.24,24056.87,1639.35,196.07,25892.289999999997,28.487199223190604,1.2941691928760894,29.781368416066694
Police,Police Officer,F,10/12/2015,34.27,67025.6,5074.2,8941.23,81041.03,37.61172588718547,1.8982738883526742,39.50999977553815
Police,Police Officer,F,11/24/2003,37.79,77606.4,0,3313.83,80920.23,39.49274329798278,0,39.49274329798278
Police,Police Sergeant,F,5/19/2008,41.81,84865.6,8353.41,3288.64,96507.65000000001,39.034459919415674,2.5614685481942114,41.59592846760989
Fire,Fire Captain 56hr,F,1/14/2008,34.73,104036.66,4995.56,3043.15,112075.37,57.607399942412904,1.844101382828708,59.451501325241615
Police,Police Comm Op*Radio/911,F,11/7/2005,31.71,63660.8,12720.49,3845.48,80226.77,38.607573442010526,5.14295821911716,43.75053166112769
Police,Police Officer,F,7/13/2020,25.34,51537.44,1687.73,1581.75,54806.920000000006,39.11225790783802,0.8538896646631453,39.966147572501164
Fire,Firefighter 56hr,F,6/10/2002,26.98,76925.06,4444,2284.75,83653.81,54.830543992701145,2.1117256847427344,56.94226967744388
Police,Police Officer,F,4/22/1989,37.79,77606.4,283.88,5545.36,83435.64,39.49274329798278,0.09630820797796187,39.58905150596074
Police,Police Comm Op*Radio/911,F,11/2/2020,23.7,46336,16733.06,1922.21,64991.27,37.59818240830899,9.051747268202966,46.64992967651196
Library,Library Assistant,P,11/29/2021,17.57,1699.9,0,0,1699.9,1.8605796593844404,0,1.8605796593844404
Fire,Firefighter 56hr,F,10/12/2015,21.5,13757.32,2867.38,1430.05,18054.75,12.305295169946334,1.7098270721526536,14.015122242098988
Fire,Building Maint Worker*U2,F,2/23/1988,28.31,58145.6,1075.24,13894.23,73115.06999999999,39.497867021710185,0.4869349418978526,39.984801963608035
Water Services,Safety Analyst I,F,11/23/2015,32.56,66739.9,382.92,0,67122.81999999999,39.41829285579285,0.15077490077490077,39.56906775656775
Parks and Recreation,Lifeguard,P,4/19/2021,14.02,4849.88,353.88,0,5203.76,6.6524196203226165,0.3236036431471524,6.976023263469769
Parks and Recreation,Recreation Leader,P,11/29/2021,15.55,983.54,0,0,983.54,1.2163492456096956,0,1.2163492456096956
Parks and Recreation,Lifeguard,P,4/23/2018,14.72,7775.22,415.73,0,8190.950000000001,10.15784385451505,0.3620836817168339,10.519927536231885
Police,Criminal Intelligence Analyst,F,3/15/2004,37.87,77929.6,0,2375.22,80304.82,39.57343949950235,0,39.57343949950235
Aviation,Building Equip Op II,F,1/14/2019,29.5,57378.56,3630.27,691.4,61700.229999999996,37.404537157757495,1.5776923076923077,38.982229465449805
Water Services,Electrician,F,6/3/2019,27.27,54851.2,3801.71,3096.13,61749.03999999999,38.68099630475868,1.7873073632149539,40.468303667973636
Water Services,Machinist,F,5/11/2015,30.6,62852.8,10917.73,312.42,74082.95,39.50025138260432,4.574212334506451,44.07446371711077
Public Works,Solid Waste Environ Spec,F,8/23/1999,24.92,50744,299.11,75.8,51118.91,39.15915545129028,0.15388216652261597,39.313037617812896
Aviation,Contracts Specialist I,F,1/11/2010,30.34,61560.48,0,75,61635.48,39.01962375133107,0,39.01962375133107
Water Services,Utilities Service Spec*Water,F,6/27/2011,24.92,50827.8,9.2,475.14,51312.14,39.22382392888011,0.0047330946207350694,39.22855702350084
Parks and Recreation,Recreation Coordinator III,F,10/26/1981,37.87,77929.6,0,6075,84004.6,39.57343949950235,0,39.57343949950235
Parks and Recreation,Recreation Instructor,P,4/14/2003,16.24,12784.56,14.25,44.89,12843.699999999999,15.138973095869648,0.011249526335733232,15.150222622205382
Parks and Recreation,Lifeguard,P,4/22/2019,14.02,2539.92,134.55,0,2674.4700000000003,3.4839240645232086,0.12303851640513552,3.606962580928344
Police,Police Recruit (NC),F,11/15/2021,23.53,5647.2,0,2500,8147.2,4.615384615384615,0,4.615384615384615
Police,Police Lieutenant,F,7/13/1998,64.47,132955.2,4487.99,4613.41,142056.6,39.659233274868456,0.8924822915050927,40.551715566373545
Fire,Fire Prevention Spec II,P,6/3/2019,26.08,35973.68,0,75,36048.68,26.526132609721568,0,26.526132609721568
Fire,Fire Captain 56hr,F,1/3/1994,33.55,92824.66,12332.51,7595.47,112752.64,53.206843975696444,4.712640911001567,57.91948488669801
Street Transportation,Admin Asst II,F,8/31/2015,37.14,73178.72,0,2868.8,76047.52,37.89130524833271,0,37.89130524833271
Public Works,Solid Waste Equipment Operator,F,1/28/2008,25.73,52857.6,18021.04,838.3,71716.94,39.506113785165475,8.979361615195273,48.48547540036075
Police,Police Officer,F,12/30/2019,24.75,11880,396,174,12450,9.23076923076923,0.20512820512820512,9.435897435897434
Aviation,Contracts Specialist II,F,5/21/2018,37.14,72925.76,0,75,73000.76,37.760324758709245,0,37.760324758709245
Police,Police Officer,F,3/27/2017,31.75,64693.5,3732.55,2451.69,70877.74,39.184433676559664,1.5071875630930749,40.69162123965274
Police,Police Officer,F,1/1/2018,31.75,61775.92,2616.44,2313.88,66706.24,37.41727437916414,1.0565071673733093,38.47378154653745
Street Transportation,Traffic Signal Technician,F,7/27/2020,26.13,53487.68,0,753.75,54241.43,39.3650681503724,0,39.3650681503724
Planning & Development,Plumbing/Mech Insp II*Ind/PR,F,12/6/2004,40.19,82889.6,956.8,6194.28,90040.68000000001,39.66237295921298,0.30521688645600065,39.96758984566898
Police,Police Sergeant,F,9/28/1994,53.72,110785.6,6177,4694.29,121656.89,39.65920155793573,1.4741680508620196,41.13336960879775
Parks and Recreation,Recreation Leader,P,7/17/2017,16.24,14209.4,313.92,138.87,14662.19,16.826212580522927,0.24782114437286853,17.074033724895795
Fire,Firefighter 56hr,F,6/5/2017,23.79,65670.95,14899.44,1898.37,82468.76,53.08545122384971,8.02935945937207,61.114810683221776
Aviation,Senior Human Resources Clerk,F,11/23/2015,21.39,39266.44,160.43,0,39426.87,35.302657604200384,0.09615684300116278,35.398814447201545
Library,Library Clerk I*Extension Svcs,F,6/2/1980,17.11,35286.4,0,7458.5,42744.9,39.66011778986648,0,39.66011778986648
Police,Police Officer,F,8/13/2018,30.04,59711.6,11003.37,2581.58,73296.55,38.22569906790945,4.696033493803134,42.92173256171259
Fire,Firefighter 56hr,F,1/1/2007,28.17,74329.01,26468.81,1565.07,102362.89,50.74206739302585,12.046280367366629,62.788347760392476
Police,Police Comm Op*Radio/911,F,1/29/2018,24.92,47870.46,7754.08,2138.36,57762.9,36.94164403012717,3.989216775733629,40.9308608058608
Public Works,Equipment Service Wkr II,F,8/10/1998,23.05,47339.2,0,5077.6,52416.799999999996,39.49541131319873,0,39.49541131319873
Police,Police Officer,F,6/19/2006,37.79,71532.88,2368.72,2722.7,76624.3,36.40201925621349,0.8036042637789131,37.20562351999241
Water Services,Information Tech Systems Spec,F,9/1/1984,48.49,99784,0,6675.96,106459.96,39.573583768263084,0,39.573583768263084
Street Transportation,Senior Construction Insp,F,8/1/2016,34.99,71872,3207.59,8,75087.59,39.501396003253674,1.1752771854229414,40.67667318867662
Human Services,Caseworker I,F,1/25/2010,24.92,51396.8,7498.56,2081.52,60976.88,39.66292134831461,3.857760217310779,43.52068156562539
Water Services,Civil Engineer III,F,7/26/2021,43.08,37910.4,0,75,37985.4,16.923076923076927,0,16.923076923076927
Public Works,Electrician,F,9/25/2006,31.84,65398.4,4066.27,2916,72380.67,39.49942017781214,1.6373010887772195,41.13672126658936
Public Works,Solid Waste Equipment Operator,F,3/22/2021,21.43,33136.8,6683.71,12.26,39832.770000000004,29.73617143472487,3.998534285748472,33.73470572047334
Police,Police Assistant,F,11/19/2007,24.92,51396.8,23082.45,4587.14,79066.39,39.66292134831461,11.87515434004198,51.53807568835659
Police,Police Officer,F,6/18/2007,37.79,77606.4,11365.2,5004.28,93975.87999999999,39.49274329798278,3.8557208866814583,43.34846418466424
Water Services,Budget Analyst II,F,10/19/2020,41.78,81336.16,0,75,81411.16,37.43793497072578,0,37.43793497072578
Fire,Fire Engineer 56hr,F,9/10/2007,26.95,77793.62,4943.99,4955.21,87692.82,55.511360068502924,2.3519290233575947,57.863289091860516
Fire,Fire Captain 56hr,F,6/19/2006,31.26,87182.76,14093.95,1645.15,102921.85999999999,53.63376642551306,5.780283642567712,59.41405006808077
Aviation,Volunteer Coordinator,F,3/20/2000,37.87,77929.6,0,3795.34,81724.94,39.57343949950235,0,39.57343949950235
Police,Police Officer,F,11/19/2018,30.04,59110.83,1946.47,2451.84,63509.14,37.84110288845642,0.8307171634401994,38.67182005189662
Police,Police Officer,F,4/12/2004,37.79,77606.4,15101.44,5284.23,97992.06999999999,39.49274329798278,5.123265549833425,44.616008847816204
Library,Library Assistant,P,3/13/2017,19.37,25810.78,0,195,26005.78,25.625253167070408,0,25.625253167070408
Planning & Development,Planner II,F,3/2/2015,37.14,72687.68,0,0,72687.68,37.63704900376952,0,37.63704900376952
Police,Police Officer,F,11/7/2016,28.41,58091.3,2185.68,5310.08,65587.06,39.32208323179812,0.986326591395229,40.308409823193344
Municipal Court,City Judge (NC),P,12/2/2019,71.82,75.41,0,75,150.41,0.020192039928882036,0,0.020192039928882036
Aviation,Secretary III,F,3/12/2007,25.37,52209.6,0,2769.94,54979.54,39.57551317425184,0,39.57551317425184
Planning & Development,Planner II,F,8/9/2021,39,29640,0,75,29715,14.615384615384615,0,14.615384615384615
Police,Police Officer,F,10/28/2002,37.79,77606.4,56860.95,12469.6,146936.94999999998,39.49274329798278,19.290461457039918,58.783204755022695
Street Transportation,Equipment Op III,F,4/8/2019,21.43,43344.27,0,75,43419.27,38.89611077210237,0,38.89611077210237
Planning & Development,Mechanical Plans Engineer,F,6/9/2014,51.02,104979.2,0,4356.8,109336,39.56939963212013,0,39.56939963212013
Fire,Firefighter 56hr,F,1/1/2007,28.17,84335.77,82149.37,4306.67,170791.81000000003,57.573366374484586,37.3871867689759,94.96055314346049
Fire,Firefighter 56hr,F,2/26/2018,19.43,53608.97,3268.21,3602.37,60479.55,53.05927590165882,2.156465682199084,55.215741583857906
Water Services,Water Services Project Coord,F,11/12/2012,43.08,86804.8,0,3075.24,89880.04000000001,38.74937504463967,0,38.74937504463967
Police,Police Officer,F,4/6/1995,37.79,77606.4,7309.59,5693.49,90609.48,39.49274329798278,2.479827793270503,41.97257109125328
Parks and Recreation,Parks Foreman I,F,2/5/2001,27.97,56495.43,5904.02,1601.2,64000.649999999994,38.843424273259814,2.7062053665557424,41.54962963981556
Police,Police Lieutenant,F,1/31/1994,64.47,131367.6,2401.16,4651.86,138420.62,39.185667752443,0.47749499866763706,39.66316275111064
Public Works,Equipment Op IV,F,7/16/2018,23.39,47153.7,1338.92,268.5,48761.119999999995,38.76878679251488,0.7338880301684919,39.502674822683375
Police,Police Officer,F,1/13/2020,26.82,54908.64,2374.05,6791.06,64073.75,39.37119256582344,1.134844834509264,40.50603740033271
Library,Library Page,P,9/25/2006,15.55,12897.46,0,10.1,12907.56,15.950358644570862,0,15.950358644570862
Police,Police Officer,F,8/10/1998,37.79,77606.4,13958.96,6457.14,98022.49999999999,39.49274329798278,4.73567149089774,44.228414788880514
Fire,Account Clerk Supervisor,F,2/26/2007,27.97,57550.4,2319.95,1775.14,61645.49,39.56876873573334,1.0633875122613057,40.63215624799465
Fire,Firefighter 56hr,F,7/4/2005,28.17,82835.09,49775.27,2675.18,135285.53999999998,56.548899538516146,22.65333642809681,79.20223596661296
Police,Police Commander,F,1/12/1998,75.95,151467.2,2861.6,13796,168124.80000000002,38.35195219527017,0.48304383788254746,38.83499603315272
Human Services,Secretary II,F,1/15/2018,17.97,36431.6,0,75,36506.6,38.98762895423997,0,38.98762895423997
Fire,Fire Captain 56hr,F,9/5/1995,34.73,104704.52,217212.59,4719.19,326636.3,57.97720879753705,80.18361056354146,138.16081936107852
Library,Library Circulation Attnd III,F,10/14/2002,22.97,47262.4,0,3386.18,50648.58,39.56866816248619,0,39.56866816248619
Police,Police Officer,F,3/13/2006,37.79,73071.6,1029.8,4401.12,78502.52,37.18505099029048,0.34936660763599103,37.53441759792647
Police,Police Officer,F,7/1/2019,28.41,56463.3,3030.7,1536.51,61030.51,38.22008772642352,1.3676567478045831,39.5877444742281
Police,Crime Scene Specialist II,F,1/1/2018,22.64,46646,3779.69,2362.25,52787.94,39.621840173960315,2.140351771314669,41.762191945274985
Police,Management Asst II,F,9/5/1995,40.98,83463.2,0,-1190.4,82272.8,39.16694822990577,0,39.16694822990577
Police,Police Officer,F,8/27/2007,37.79,77606.4,7520.02,3481.91,88608.33,39.49274329798278,2.5512175924983547,42.04396089048113
Water Services,Ops & Maintenance Supervisor,F,10/26/2015,33.55,65802.57,11522.34,5271.6,82596.51000000001,37.717855095723955,4.403049409606787,42.12090450533074
Police,Police Officer,F,12/13/1999,37.79,77606.4,9115.04,5149.34,91870.78,39.49274329798278,3.092338903929272,42.58508220191205
Aviation,Airport Operations Technician,F,3/31/2014,24.02,49338.75,8402.32,2621.93,60363,39.50133702683661,4.4846815687781545,43.986018595614766
Water Services,Ops & Maintenance Tech*SCBA,F,2/7/2011,28.31,26690.71,1844.01,2783.18,31317.899999999998,18.13079776105209,0.8350813792353885,18.965879140287477
Planning & Development,Chief Engineering Tech,F,3/13/2017,23.7,45909.12,0,75,45984.12,37.25180136319377,0,37.25180136319377
Police,Police Officer,F,5/9/2016,34.27,68950.2,888.06,9607.47,79445.73,38.69172409149065,0.33222598819330657,39.02395007968396
Police,Police Lieutenant,F,2/8/1994,64.47,126088.2,8897.34,12591.96,147577.5,37.610874467551994,1.769326222094952,39.38020068964695
Fire,Building Maint Worker*U2,F,7/30/2007,27.27,53804,2146.65,1395.8,57346.450000000004,37.942512199937944,1.0092098953485094,38.951722095286456
Fire,Fire Engineer 56hr,F,5/1/2000,28.14,60304.49,20360.99,4437.24,85102.72,41.21185965775518,9.276415541340915,50.488275199096094
Library,Library Circulation Attnd III,F,6/1/2009,22.97,45906.4,0,175.8,46082.200000000004,38.4334081243093,0,38.4334081243093
Fire,Firefighter 56hr,F,1/4/2016,21.5,60519.11,4515.33,710.19,65744.63,54.13158318425761,2.692504472271914,56.82408765652952
Fire,Casework Services Coordinator,F,3/8/2021,33.55,42140.4,0,2313.4,44453.8,24.15476326951737,0,24.15476326951737
Police,Police Reserves,P,8/9/2010,28.41,0,0,1150,1150,0,0,0
Street Transportation,Planner III,F,3/2/2015,40.98,81101.76,0,75,81176.76,38.05879040432481,0,38.05879040432481
Police,Police Officer,F,5/7/2007,37.79,77606.4,4763.77,7059.39,89429.56,39.49274329798278,1.6161411579511606,41.10888445593394
Police,Police Officer,F,7/30/2007,37.79,77606.4,5977.42,3697.04,87280.85999999999,39.49274329798278,2.0278801202325942,41.52062341821537
Parks and Recreation,Recreation Leader,P,10/10/2016,15.55,4770.73,103.35,21.41,4895.49,5.899987632945832,0.08520900321543406,5.985196636161266
Aviation,Aviation Supv III,F,12/12/2011,35.28,69587.2,0,1486.2,71073.4,37.931275074132216,0,37.931275074132216
Fire,Fire Engineer 56hr,F,4/29/2002,29.24,7011.94,3998.01,2203.17,13213.12,4.611662106703147,1.7529595917078817,6.364621698411028
Police,User Technology Specialist*U2,F,11/5/2007,40.42,83020.8,832.84,3097.15,86950.79,39.49910554561718,0.2641621943947525,39.763267740011926
Water Services,Project Manager,F,12/20/2004,39,77434.24,0,1635,79069.24,38.18256410256411,0,38.18256410256411
Police,Police Officer,F,6/21/2004,37.79,77606.4,4873.08,3596.78,86076.26,39.49274329798278,1.6532253139821278,41.1459686119649
Fire,Fire Engineer 56hr,F,11/13/2000,28.14,84842.89,108302.14,4863.71,198008.74,57.9813091137718,49.34218103621088,107.32349014998269
Fire,Firefighter 56hr,F,10/8/2018,18.53,52582.15,5505.4,2063.44,60150.990000000005,54.57070654655652,3.8090691463600255,58.379775692916546
Fire,Firefighter 56hr,F,10/5/2020,17.21,48973.23,3589.56,86.51,52649.3,54.723584230992714,2.674026728646136,57.39761095963885
Water Services,Senior Water Quality Inspector,F,9/24/2007,30.6,62161.6,0,0,62161.6,39.06586224233283,0,39.06586224233283
Fire,Fire Captain 56hr,F,4/11/2005,30.86,82980.36,7857.5,7835.21,98673.07,51.710179969091186,3.264328564069329,54.97450853316052
Fire,Firefighter 56hr,F,1/14/2008,26.98,81344.86,30766.18,1329.91,113440.95000000001,57.98088327536066,14.619651783847484,72.60053505920814
Fire,Fire Engineer 56hr,F,1/10/2000,26.95,78192.65,5607.51,6026.47,89826.62999999999,55.796096760382476,2.667575281860996,58.46367204224347
Water Services,Buyer,F,5/25/2015,26.13,52645.6,0,0,52645.6,38.745326621331216,0,38.745326621331216
Street Transportation,Equipment Op IV,F,4/2/2012,27.8,55110.8,311.58,87.16,55509.54000000001,38.12313226342003,0.14369120088544546,38.266823464305475
Planning & Development,Customer Service Clerk*Plans,F,9/20/2021,17.11,9581.6,0,75,9656.6,10.76923076923077,0,10.76923076923077
Police,Police Officer,F,12/3/2007,37.79,77606.4,5891.64,3712.29,87210.32999999999,39.49274329798278,1.9987786756773263,41.491521973660106
Fire,Firefighter 56hr,F,9/19/2011,26.98,77952.61,21985.52,5786.37,105724.5,55.562959742259224,10.447206857881431,66.01016660014065
Fire,Firefighter 56hr,F,9/25/2017,21.5,59151.3,23926.07,2784.39,85861.76,52.90813953488372,14.267185450208707,67.17532498509243
Fire,Supplies Clerk I*U2,F,9/27/2004,20.28,38554.97,1795.28,5300.11,45650.36,36.560243134577455,1.1349314722095787,37.695174606787035
Police,Police Officer,F,1/31/2005,37.79,77606.4,2467.17,3852.92,83926.48999999999,39.49274329798278,0.837004091436481,40.32974738941926
Water Services,Water Services Specialist,F,10/6/2008,26.13,53889.68,0,1517.48,55407.16,39.66092613853808,0,39.66092613853808
Water Services,Water Customer Services Spv II,F,4/9/2018,27.44,54805.52,0,75,54880.52,38.40934065934066,0,38.40934065934066
Fire,Fire Engineer 56hr,F,12/27/2010,28.14,78255.3,15587.69,4499.35,98342.34000000001,53.47937510250943,7.101712135294225,60.58108723780366
Human Services,Admin Asst II,F,10/12/2015,33.55,67583.52,0,75,67658.52,38.73869081737935,0,38.73869081737935
Public Works,Equipment Service Wkr II,F,8/20/2001,23.05,47339.2,0,3484.44,50823.64,39.49541131319873,0,39.49541131319873
Public Works,Auto Technician,F,3/3/2014,23.05,45721.6,1600.55,2925.6,50247.75,38.14583680961121,0.8902330496690583,39.03606985928027
Police,Police Officer,F,7/4/2005,37.79,77606.4,36897.32,5688.87,120192.59,39.49274329798278,12.517665099300451,52.01040839728323
Water Services,Senior Utility Technician,F,1/29/2007,28.31,56752,0,409.3,57161.3,38.5512050648045,0,38.5512050648045
Police,Police Assistant,F,4/14/2003,24.92,51396.8,0,3300.66,54697.46000000001,39.66292134831461,0,39.66292134831461
Fire,Fire Emergency Dispatcher*Lead,F,8/22/2011,33.25,65412.79,11079.68,1007.43,77499.9,37.83272990167727,4.272095623674572,42.10482552535184
Fire,Fire Captain 56hr,F,6/23/1993,35.92,107530.07,175429.16,33534.88,316494.11,57.569208283364745,62.61391411113015,120.18312239449489
Police,Forensic Photo Spec,F,8/12/2019,20.55,42127.2,6337.14,76.21,48540.549999999996,39.42279618192026,3.9535466966123898,43.376342878532654
Police,Police Sergeant,F,5/7/2007,43.89,85329.6,0,3299.23,88628.83,37.38787528261213,0,37.38787528261213
Public Works,Solid Waste Equipment Operator,F,5/23/2005,25.73,52857.6,4964.74,1125.4,58947.74,39.506113785165475,2.4737859627093988,41.979899747874875
Aviation,User Technology Specialist*U2,F,4/10/2006,40.42,83020.8,6222.02,3365.75,92608.57,39.49910554561718,1.9735152691609892,41.47262081477817
Public Works,Solid Waste Equipment Operator,F,3/25/2019,20.69,40976.64,10405.17,10.58,51392.39,38.086626761348846,6.447540617912778,44.534167379261625
Street Transportation,Admin Asst I,F,4/29/2013,27.44,53334.8,1248.72,75,54658.520000000004,37.37861628167751,0.5834267773043282,37.962043058981834
Public Works,Solid Waste Worker,F,8/12/2019,16.32,24945.08,0,75,25020.08,29.394183634992462,0,29.394183634992462
Parks and Recreation,Lifeguard,P,4/19/2021,14.02,5031.19,479.66,0,5510.8499999999995,6.901116536815538,0.43862248070521964,7.339739017520757
Police,Police Assistant,F,10/23/2017,20.55,41758.6,1686.15,2263.08,45707.83,39.077858880778585,1.0519371139809095,40.1297959947595
Aviation,Airport Security Guard,F,8/28/2006,18.25,37489.6,27.94,3422.36,40939.9,39.50432033719705,0.019627678257815247,39.52394801545486
Public Works,Solid Waste Worker,F,12/3/2018,17.31,34512.96,2145.03,124.73,36782.72,38.34262098386882,1.5886992845398393,39.93132026840866
Fire,Fire Engineer 56hr,F,3/9/1992,26.95,81264.33,42114.98,3489.99,126869.3,57.98796203796204,20.034717663289094,78.02267970125114
Police,Police Statistical Rsrch Aide,F,7/29/2019,19.59,45182.72,11120.8,1415.78,57719.3,44.354183845761185,7.277915210533893,51.632099056295075
Aviation,Aviation Supv I,F,6/25/2012,24.89,51160,2066.24,5425.7,58651.939999999995,39.52776833451803,1.064293146253773,40.592061480771804
Police,Police Sergeant,F,3/29/2004,53.72,110785.6,7058.98,3196.48,121041.06,39.65920155793573,1.68465643316723,41.34385799110296
Planning & Development,Planning & Dev Team Ldr,F,8/3/1992,53.7,110497.6,0,6651.2,117148.8,39.570835123907756,0,39.570835123907756
Human Services,Secretary III,F,3/5/2012,25.37,52209.6,707,1789.98,54706.58,39.57551317425184,0.35727641167136637,39.9327895859232
Police,Police Officer,F,7/31/2017,31.75,63390.9,10998.13,3660.5,78049.53,38.39545729860691,4.440997375328084,42.83645467393499
Police,Police Officer,F,4/19/2021,25.34,34270.8,3753.77,1527.29,39551.86,26.008439074737417,1.8991813895128813,27.9076204642503
Police,Police Officer,F,4/24/2017,31.75,64459.7,3226.1,11000.22,78686.02,39.042822531798905,1.3026852412679184,40.34550777306682
